"No.","Ticker","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Performance (3 Years)","Performance (5 Years)","Performance (10 Years)","Volatility (Week)","Volatility (Month)","Average Volume","Relative Volume","Price","Change","Volume"
2126,"HSBC",0.65%,0.39%,10.81%,8.99%,30.93%,59.44%,181.09%,288.36%,197.83%,1.20%,1.20%,1436.20,0.34,103.00,-0.63%,24611
2127,"HSBH",1.38%,-2.27%,6.03%,10.12%,30.60%,57.26%,,,,0.87%,0.84%,7.60,0.00,112.87,0.00%,0
2128,"HSCZ",1.70%,2.43%,1.82%,4.02%,13.41%,18.63%,60.72%,49.03%,140.76%,0.36%,0.50%,29.03,0.00,44.13,0.00%,0
2129,"HSHP",0.63%,10.95%,14.39%,17.75%,90.97%,138.28%,281.86%,,,3.16%,3.44%,311.33,0.66,16.00,0.63%,10212
2130,"HSIC",2.19%,5.32%,18.45%,10.96%,19.61%,31.05%,17.63%,20.16%,41.18%,1.48%,2.25%,1326.31,0.00,90.40,0.02%,207
2131,"HSLV",3.15%,29.53%,2.01%,-24.22%,43.52%,102.55%,3381.25%,,,5.11%,5.03%,517.23,0.00,5.57,0.00%,0
2132,"HSMV",-0.17%,-1.90%,4.29%,2.58%,9.59%,6.45%,27.23%,18.80%,,0.27%,0.41%,18.10,0.00,39.07,0.00%,0
2133,"HSTM",0.74%,-0.31%,18.60%,32.72%,24.66%,2.71%,36.17%,-0.59%,15.01%,2.77%,3.59%,206.39,0.00,28.76,0.00%,0
2134,"HTEC",0.27%,13.26%,27.36%,22.23%,22.99%,42.60%,56.64%,-9.06%,,1.49%,1.33%,25.68,0.00,43.44,0.00%,0
2135,"HTFL",7.49%,91.25%,67.14%,112.78%,67.89%,55.96%,,,,4.86%,6.16%,1770.15,0.00,48.94,0.00%,0
2136,"HTGC",3.58%,10.91%,14.87%,15.30%,-5.03%,-7.51%,12.82%,15.08%,45.24%,1.49%,1.75%,1513.81,0.00,17.64,0.00%,3
2137,"HTHT",0.91%,14.42%,9.10%,-10.07%,4.21%,34.40%,22.88%,9.99%,348.25%,2.38%,2.66%,1964.28,0.00,49.03,0.00%,0
2138,"HTUS",-0.34%,4.55%,3.83%,13.18%,14.89%,21.63%,53.65%,61.60%,154.63%,0.51%,0.76%,14.03,0.00,45.61,0.00%,0
2139,"HULL",-1.48%,3.16%,3.87%,,3.22%,,,,,0.00%,0.06%,1.50,0.00,26.56,0.00%,0
2140,"HURN",-1.52%,29.00%,49.48%,17.45%,-9.45%,14.64%,58.74%,219.20%,148.52%,2.63%,5.45%,309.09,0.00,156.57,0.00%,0
2141,"HUSV",0.27%,-0.78%,4.52%,3.12%,6.61%,3.59%,27.28%,23.70%,107.70%,0.42%,0.48%,21.20,0.00,41.25,0.00%,0
2142,"HVMC",0.39%,0.79%,1.48%,1.99%,2.70%,,,,,0.08%,0.05%,114.47,0.00,10.27,0.00%,0
2143,"HWBK",-0.72%,0.46%,5.79%,10.68%,12.04%,19.47%,131.11%,84.90%,266.03%,2.41%,2.63%,14.46,0.00,39.08,0.00%,0
2144,"HWIV",-0.23%,3.71%,,,5.04%,,,,,0.06%,0.13%,1.72,0.00,26.58,0.00%,0
2145,"HWO",-0.90%,5.11%,,,7.63%,,,,,0.01%,0.24%,0.31,0.00,26.93,0.00%,0
2146,"HWSM",-0.07%,-0.28%,7.89%,10.84%,15.67%,17.62%,,,,0.04%,0.06%,0.10,0.00,31.91,0.00%,0
2147,"HXC",,,,,0.36%,,,,,,,300.03,0.00,25.10,0.00%,0
2148,"HXE",,,,,0.05%,,,,,,,300.77,0.00,25.20,0.00%,0
2149,"HYBB",0.11%,0.48%,-0.22%,-1.55%,-1.00%,-0.96%,5.14%,-10.63%,,0.22%,0.19%,80.40,0.00,46.66,0.00%,0
2150,"HYDB",0.30%,0.84%,-0.41%,-1.95%,-1.39%,-2.01%,5.55%,-9.31%,,0.19%,0.19%,161.64,0.00,46.69,0.00%,0
2151,"HYDW",-0.02%,0.72%,0.17%,-0.94%,-0.67%,-0.98%,4.82%,-7.94%,,0.16%,0.19%,3.88,0.00,46.87,0.00%,0
2152,"HYEM",0.30%,0.45%,-0.25%,-0.89%,1.06%,0.15%,12.54%,-15.01%,-17.35%,0.33%,0.31%,221.40,0.00,20.10,0.00%,0
2153,"HYFI",0.08%,0.51%,-0.56%,-1.48%,-0.90%,-1.34%,5.90%,,,0.24%,0.23%,47.85,0.00,37.24,0.00%,0
2154,"HYG",0.43%,0.83%,-0.41%,-1.18%,-0.91%,-1.32%,7.09%,-9.16%,-7.69%,0.17%,0.19%,31495.05,0.00,79.90,0.00%,16
2155,"HYGH",0.39%,0.71%,0.15%,0.64%,0.78%,0.42%,3.51%,-0.83%,-0.73%,0.24%,0.29%,55.01,0.00,86.87,0.00%,0
2156,"HYGU",0.75%,,,,-0.16%,,,,,0.28%,,3.28,0.00,25.21,0.00%,0
2157,"HYHG",0.21%,0.25%,-0.32%,0.35%,0.65%,-0.11%,5.65%,3.77%,-1.84%,0.54%,0.55%,22.18,0.00,64.82,0.00%,0
2158,"HYLB",0.22%,0.52%,-0.41%,-1.49%,-1.06%,-1.49%,6.33%,-9.29%,,0.17%,0.18%,1010.83,0.00,36.44,0.00%,0
2159,"HYMC",-3.57%,31.55%,-24.01%,-49.46%,6.04%,504.46%,662.43%,28.60%,,7.18%,6.55%,2010.68,0.07,25.21,-1.00%,6880
2160,"HYNE",0.18%,-0.54%,4.15%,14.43%,14.35%,,,,,1.59%,1.37%,14.67,0.00,16.57,0.00%,0
2161,"HYNX",0.86%,54.95%,,,-22.01%,,,,,6.34%,12.10%,1231.11,0.10,23.49,7.90%,6231
2162,"HYPG",14.81%,56.79%,,,13.79%,,,,,4.39%,4.22%,105.41,7.78,29.54,2.75%,41003
2163,"HYS",0.17%,0.49%,-0.60%,-1.67%,-1.80%,-2.41%,2.53%,-6.09%,-4.01%,0.21%,0.24%,103.32,0.00,93.11,0.00%,0
2164,"HYSA",0.01%,0.71%,-0.40%,-2.08%,-1.72%,-1.69%,2.14%,-6.53%,-19.12%,0.51%,0.50%,66.31,0.00,14.89,0.00%,0
2165,"HYXF",0.23%,0.60%,-0.15%,-1.09%,-1.29%,-1.68%,7.67%,-10.30%,-8.67%,0.29%,0.45%,20.33,0.00,46.65,0.00%,0
2166,"HYZD",-0.07%,0.56%,0.27%,0.97%,0.35%,0.76%,6.80%,2.15%,-2.98%,0.32%,0.39%,87.75,0.00,22.61,0.00%,0
2167,"IA",5.11%,,,,-12.28%,,,,,4.84%,,238.39,0.00,22.00,1.52%,38
2168,"IACL",0.12%,,,,0.08%,,,,,0.11%,,0.54,0.00,25.04,0.00%,0
2169,"IACO",0.10%,0.50%,1.01%,,1.53%,,,,,0.10%,0.07%,34.18,0.00,9.98,0.00%,0
2170,"IAE",1.36%,6.83%,4.09%,9.19%,22.39%,23.75%,52.05%,3.97%,-5.11%,1.25%,1.91%,67.35,0.00,8.91,0.00%,0
2171,"IAF",1.24%,5.98%,7.67%,-4.26%,4.26%,-1.86%,12.11%,-27.93%,-24.54%,1.10%,1.20%,18.09,0.00,13.47,0.00%,0
2172,"IAG",4.63%,53.98%,23.56%,-9.95%,30.08%,134.17%,853.33%,793.75%,450.00%,3.76%,4.18%,5675.09,0.01,21.45,-0.42%,2241
2173,"IAI",2.51%,3.24%,9.75%,12.47%,8.69%,11.01%,109.18%,79.08%,376.21%,1.42%,1.18%,89.21,0.00,194.96,0.00%,0
2174,"IAK",1.33%,-3.85%,11.44%,8.19%,7.40%,10.42%,62.09%,79.66%,178.36%,0.98%,1.22%,117.87,0.00,146.22,0.00%,0
2175,"IALT",0.69%,2.83%,2.83%,10.19%,15.00%,,,,,0.72%,0.85%,4052.75,0.45,29.10,0.66%,90279
2176,"IAPR",0.41%,2.44%,3.32%,8.71%,10.86%,14.69%,39.89%,32.17%,,0.33%,0.38%,7.97,0.00,34.19,0.00%,0
2177,"IAU",1.07%,13.15%,1.71%,-12.02%,6.00%,34.42%,137.29%,148.53%,237.94%,1.32%,1.29%,6251.17,0.17,86.04,-0.38%,52226
2178,"IAUG",0.57%,2.04%,3.92%,4.97%,9.00%,12.34%,,,,0.31%,0.33%,17.18,0.00,31.02,0.00%,0
2179,"IAUM",1.04%,13.14%,1.83%,-11.93%,6.12%,34.77%,138.60%,150.87%,,1.29%,1.26%,2421.39,0.59,45.62,-0.37%,71618
2180,"IBAC",0.00%,0.83%,1.40%,1.49%,3.62%,3.42%,,,,0.44%,0.37%,3.95,0.00,10.88,0.00%,0
2181,"IBB",1.88%,13.93%,24.70%,23.53%,27.27%,54.98%,68.36%,25.02%,126.09%,1.69%,1.80%,1581.94,0.01,214.79,-0.20%,1161
2182,"IBBQ",-0.68%,11.64%,23.87%,21.98%,28.78%,55.56%,78.48%,36.66%,,1.55%,1.53%,27.16,0.00,36.57,0.00%,0
2183,"IBDR",0.08%,-0.04%,-0.04%,-0.12%,0.00%,-0.08%,3.77%,-8.81%,,0.04%,0.05%,589.89,0.00,24.23,0.00%,0
2184,"IBDS",0.12%,0.08%,-0.08%,-0.53%,-0.29%,-0.37%,4.13%,-10.60%,,0.16%,0.10%,562.18,0.00,24.21,0.00%,0
2185,"IBDT",0.04%,0.12%,-0.22%,-1.29%,-0.96%,-1.10%,3.96%,-12.74%,,0.19%,0.13%,627.97,0.00,25.21,0.00%,0
2186,"IBDU",0.09%,0.22%,-0.37%,-1.87%,-1.30%,-1.45%,4.19%,-13.97%,,0.24%,0.16%,755.78,0.00,23.10,0.00%,0
2187,"IBEX",2.40%,2.12%,17.74%,29.02%,-4.06%,25.49%,95.15%,100.49%,,2.17%,3.38%,105.65,0.00,36.63,0.00%,0
2188,"IBFR",0.42%,2.36%,2.85%,0.88%,1.40%,,,,,0.16%,0.15%,1.19,0.00,51.35,0.00%,0
2189,"IBHH",0.58%,0.32%,-0.30%,-0.78%,-0.76%,-1.45%,4.84%,,,0.32%,0.31%,118.13,0.00,23.50,0.00%,1
2190,"IBHI",0.36%,0.52%,-0.34%,-0.76%,-1.02%,-1.60%,7.27%,,,0.20%,0.36%,114.95,0.00,23.39,0.00%,1
2191,"IBHJ",0.23%,0.76%,0.08%,-0.52%,-0.60%,-0.70%,6.40%,,,0.32%,0.47%,39.08,0.00,26.45,0.00%,0
2192,"IBHM",0.24%,0.95%,0.16%,,1.56%,,,,,0.13%,0.18%,5.20,0.00,25.38,0.00%,0
2193,"IBKR",8.08%,12.58%,16.85%,30.24%,51.00%,57.16%,319.39%,495.40%,1000.08%,3.73%,3.36%,4795.43,0.03,97.11,0.09%,6396
2194,"IBLC",6.22%,7.19%,-14.79%,14.19%,13.47%,10.34%,179.14%,,,2.86%,3.16%,13.98,0.00,46.42,0.00%,0
2195,"IBMO",0.08%,0.00%,-0.02%,-0.27%,0.01%,-0.19%,2.48%,-5.20%,,0.13%,0.22%,74.79,0.00,25.64,0.00%,0
2196,"IBMP",0.06%,0.02%,0.02%,-0.51%,0.00%,-0.25%,2.65%,-6.31%,,0.09%,0.12%,79.45,0.00,25.39,0.00%,0
2197,"IBMQ",0.06%,0.27%,0.10%,-0.91%,-0.16%,-0.37%,2.67%,-6.99%,,0.11%,0.12%,71.20,0.00,25.53,0.00%,0
2198,"IBMR",0.06%,0.30%,-0.10%,-1.52%,-0.47%,-0.67%,3.43%,,,0.19%,0.14%,62.49,0.00,25.31,0.00%,0
2199,"IBN",2.41%,-0.36%,15.30%,-2.58%,1.17%,-5.37%,28.68%,60.89%,351.22%,1.59%,1.24%,6833.62,0.00,30.15,0.00%,0
2200,"IBND",-0.03%,1.85%,-0.67%,-3.66%,-2.43%,-2.12%,11.18%,-13.38%,-6.50%,0.51%,0.57%,66.56,0.00,31.33,0.00%,0
2201,"IBP",-1.48%,2.47%,15.22%,-17.66%,-4.53%,-10.56%,83.79%,108.39%,686.95%,3.13%,4.38%,404.60,0.00,246.00,0.00%,0
2202,"IBRN",-0.75%,7.80%,14.21%,23.30%,24.89%,61.71%,76.65%,,,1.15%,1.57%,3.14,0.00,40.36,0.00%,0
2203,"IBRX",5.99%,21.67%,7.64%,-12.98%,319.70%,255.13%,403.64%,-26.59%,5.06%,4.54%,4.90%,10854.41,0.02,8.31,0.73%,10082
2204,"IBTG",0.07%,0.00%,-0.04%,-0.11%,0.04%,-0.13%,2.45%,-10.33%,,0.04%,0.04%,524.54,0.00,22.89,0.00%,0
2205,"IBTH",0.04%,0.09%,-0.09%,-0.58%,-0.42%,-0.49%,2.76%,-12.09%,,0.04%,0.05%,500.41,0.00,22.38,0.00%,0
2206,"IBTI",0.00%,0.14%,-0.23%,-1.43%,-1.12%,-1.16%,2.63%,-13.18%,,0.06%,0.08%,453.50,0.00,22.11,0.00%,0
2207,"IBUF",0.33%,1.66%,4.22%,8.20%,9.97%,14.26%,,,,0.31%,0.32%,16.62,0.00,32.15,0.00%,0
2208,"IBUY",-0.56%,1.42%,10.51%,14.56%,-0.80%,0.47%,60.08%,-35.98%,171.72%,0.68%,1.11%,14.59,0.00,73.84,0.00%,0
2209,"ICAP",0.19%,3.56%,2.55%,1.80%,5.87%,7.28%,25.56%,,,0.84%,1.33%,30.55,0.00,29.41,0.00%,0
2210,"ICE",1.82%,4.68%,8.90%,-0.85%,-0.28%,-8.91%,39.46%,36.39%,190.80%,1.85%,2.25%,4526.89,0.00,161.50,-0.26%,860
2211,"ICF",0.23%,-2.27%,0.52%,5.06%,15.17%,12.42%,27.71%,0.42%,29.03%,0.85%,1.11%,141.58,0.00,68.72,0.00%,0
2212,"ICOP",4.20%,22.18%,7.85%,3.87%,33.53%,85.03%,148.91%,,,2.35%,2.18%,106.71,0.04,59.17,-1.03%,202
2213,"ICOW",0.31%,5.43%,1.40%,2.72%,17.94%,27.97%,52.68%,42.70%,,0.54%,0.65%,181.59,0.00,45.62,0.00%,0
2214,"ICPY",1.14%,2.71%,7.34%,10.83%,22.84%,,,,,0.56%,1.60%,20.58,0.00,13.31,0.00%,0
2215,"ICSH",0.06%,0.06%,-0.07%,-0.32%,-0.04%,-0.32%,0.92%,0.57%,1.41%,0.02%,0.03%,1442.15,0.00,50.56,0.02%,302
2216,"IDAC",0.20%,0.20%,,,0.50%,,,,,0.20%,0.17%,12.45,0.00,10.00,0.00%,0
2217,"IDCC",0.02%,30.96%,36.39%,-8.87%,7.42%,26.82%,308.70%,374.21%,389.83%,2.56%,3.75%,317.14,0.04,342.00,-0.67%,609
2218,"IDEC",0.53%,2.92%,3.89%,3.84%,9.73%,15.54%,,,,0.13%,0.14%,1.52,0.00,35.44,0.00%,0
2219,"IDEF",-3.07%,3.30%,0.21%,-5.89%,8.73%,14.78%,,,,1.28%,1.47%,835.85,0.00,33.50,0.00%,0
2220,"IDEQ",0.56%,5.58%,2.16%,2.22%,18.55%,31.51%,,,,0.86%,0.91%,322.37,0.00,35.98,0.00%,0
2221,"IDEV",0.85%,5.01%,3.38%,2.88%,13.17%,19.01%,57.30%,35.18%,,0.48%,0.65%,1536.38,0.00,93.34,0.00%,1
2222,"IDGT",0.39%,4.73%,-6.15%,20.84%,38.58%,40.98%,84.65%,62.34%,201.56%,1.06%,1.70%,42.28,0.00,117.79,0.00%,0
2223,"IDHQ",0.39%,6.06%,11.27%,15.51%,30.92%,39.37%,72.75%,44.44%,127.60%,0.54%,0.67%,150.24,0.00,46.02,0.00%,0
2224,"IDJL",0.10%,2.17%,,,0.70%,,,,,0.00%,0.14%,1.43,0.00,25.50,0.00%,0
2225,"IDJN",0.31%,3.08%,,,1.73%,,,,,0.00%,0.00%,1.39,0.00,25.60,0.00%,0
2226,"IDLV",0.72%,0.73%,3.36%,-1.27%,6.92%,6.92%,35.70%,13.62%,17.64%,0.49%,0.57%,33.27,0.00,36.24,0.00%,0
2227,"IDMO",1.19%,6.87%,4.38%,4.74%,13.64%,21.27%,93.27%,81.42%,160.86%,0.69%,0.92%,352.99,0.00,63.15,0.00%,0
2228,"IDMY",0.53%,2.81%,3.30%,,1.31%,,,,,0.05%,0.06%,2.26,0.00,25.90,0.00%,0
2229,"IDNA",4.35%,27.54%,36.30%,32.73%,56.55%,83.17%,87.04%,-23.62%,,2.36%,2.04%,60.43,0.03,41.00,0.91%,103
2230,"IDOG",-0.41%,3.87%,2.46%,4.70%,15.59%,23.94%,61.37%,59.01%,84.48%,0.64%,0.73%,32.76,0.00,44.57,0.00%,0
2231,"IDR",6.68%,19.73%,-14.06%,-23.09%,-17.62%,23.97%,484.51%,677.52%,1606.06%,5.94%,5.81%,239.52,0.01,33.20,0.51%,66
2232,"IDT",2.84%,2.98%,27.84%,36.78%,34.93%,8.92%,192.18%,53.01%,449.24%,2.51%,2.60%,205.15,0.00,69.10,0.00%,1
2233,"IDUB",0.82%,5.89%,2.12%,4.11%,16.73%,22.48%,45.85%,13.95%,,0.81%,0.84%,34.10,0.00,28.40,0.00%,0
2234,"IDV",0.14%,3.26%,0.42%,0.29%,13.89%,22.49%,74.01%,39.79%,50.47%,0.43%,0.51%,834.34,0.00,44.93,0.00%,0
2235,"IDVO",1.07%,2.68%,1.17%,-0.94%,12.96%,21.41%,57.94%,,,0.77%,0.92%,251.43,0.00,43.32,0.00%,0
2236,"IDVY",0.95%,5.00%,6.22%,5.15%,7.34%,,,,,0.06%,0.09%,0.34,0.00,27.26,0.00%,0
2237,"IDVZ",0.62%,-1.14%,-0.93%,-2.60%,9.44%,16.76%,,,,1.06%,1.40%,31.11,0.00,34.78,0.00%,0
2238,"IDYA",7.13%,17.73%,42.81%,31.35%,21.20%,67.60%,48.11%,82.81%,,3.96%,3.46%,1087.77,0.07,41.90,0.77%,4004
2239,"IDYN",1.00%,4.38%,0.82%,-2.39%,10.53%,20.18%,,,,0.31%,0.39%,13.18,0.00,31.12,0.00%,0
2240,"IE",18.08%,39.18%,-11.44%,-27.25%,-23.97%,36.21%,-15.21%,,,6.58%,5.74%,2218.38,0.00,12.15,1.84%,392
2241,"IEAG",-0.15%,0.24%,1.94%,,1.94%,,,,,0.08%,0.15%,77.29,0.00,10.24,0.00%,0
2242,"IEDI",,2.04%,3.69%,0.13%,4.03%,0.21%,39.10%,27.52%,,0.53%,0.58%,2.69,0.00,57.27,0.00%,0
2243,"IEFA",1.65%,5.62%,3.76%,3.26%,13.61%,18.57%,54.79%,32.36%,87.14%,0.48%,0.67%,9010.85,0.00,101.64,0.67%,10
2244,"IEMG",1.12%,10.53%,-1.91%,6.69%,21.93%,31.87%,68.23%,29.83%,84.70%,0.83%,1.27%,12901.21,0.00,81.96,0.13%,1041
2245,"IEO",-0.56%,12.20%,17.59%,27.05%,50.12%,46.50%,39.00%,168.75%,124.46%,1.91%,2.07%,77.38,0.00,134.00,0.00%,0
2246,"IETC",-0.06%,8.51%,-1.21%,17.00%,6.15%,10.88%,96.22%,85.66%,,1.08%,1.54%,46.02,0.00,107.84,0.00%,0
2247,"IEUR",0.64%,4.00%,3.07%,2.28%,10.59%,17.02%,53.23%,33.50%,91.00%,0.46%,0.62%,992.45,0.00,78.50,0.00%,0
2248,"IEUS",1.11%,4.89%,0.91%,1.94%,8.57%,10.40%,45.78%,2.39%,66.76%,0.53%,0.50%,7.01,0.00,74.42,0.00%,0
2249,"IEV",0.36%,3.72%,3.28%,2.02%,10.57%,17.72%,54.32%,39.05%,94.04%,0.48%,0.58%,103.39,0.00,75.85,0.00%,0
2250,"IEZ",-2.39%,9.01%,-4.22%,0.45%,39.20%,54.44%,25.27%,116.47%,-24.05%,2.20%,2.24%,406.20,0.00,29.05,0.00%,5
2251,"IFEB",0.42%,2.53%,3.34%,3.27%,6.50%,10.67%,,,,0.13%,0.25%,8.90,0.00,32.19,0.00%,0
2252,"IFED",-1.96%,6.81%,7.81%,7.39%,1.52%,4.54%,57.10%,,,3.56%,5.03%,1.58,0.00,47.06,0.00%,0
2253,"IFGL",0.04%,-1.46%,-1.42%,-10.51%,-1.52%,-1.46%,15.77%,-23.47%,-25.15%,0.66%,0.82%,9.43,0.00,22.74,0.00%,0
2254,"IFLO",0.65%,8.98%,11.91%,18.15%,31.27%,37.64%,,,,0.54%,0.74%,43.77,0.00,37.39,0.00%,0
2255,"IFLR",0.49%,2.73%,3.43%,0.34%,8.01%,,,,,0.46%,0.57%,14.62,0.00,54.52,0.00%,0
2256,"IFV",0.45%,5.74%,-6.37%,-6.04%,5.70%,8.34%,46.29%,11.49%,49.80%,1.03%,0.99%,53.52,0.00,26.25,0.00%,0
2257,"IGA",0.86%,3.93%,6.98%,5.17%,8.74%,6.23%,25.24%,7.14%,9.62%,0.79%,0.87%,57.20,0.00,10.57,0.00%,0
2258,"IGAC",0.30%,0.50%,0.95%,1.31%,2.44%,,,,,0.00%,0.03%,42.87,0.00,10.08,0.00%,0
2259,"IGBH",0.56%,1.18%,-0.65%,0.47%,-0.22%,0.66%,2.61%,-1.27%,5.11%,0.16%,0.21%,103.85,0.00,24.58,0.00%,0
2260,"IGD",-0.30%,1.85%,3.78%,10.20%,15.21%,11.32%,29.72%,8.39%,-8.85%,0.92%,0.93%,290.89,0.00,6.59,0.00%,0
2261,"IGE",0.41%,11.65%,9.25%,6.77%,30.78%,39.55%,60.28%,133.88%,99.05%,1.32%,1.26%,174.47,0.00,65.65,0.00%,0
2262,"IGGY",0.63%,6.68%,5.77%,3.23%,3.45%,,,,,0.01%,0.05%,0.20,0.00,30.09,0.00%,0
2263,"IGLD",1.16%,8.60%,-5.40%,-20.84%,-9.64%,2.54%,20.02%,10.54%,,1.20%,1.20%,351.71,0.09,22.60,0.31%,1635
2264,"IGM",1.98%,10.50%,-0.69%,28.86%,25.08%,37.50%,149.17%,127.45%,707.12%,1.06%,1.72%,439.30,0.00,161.55,1.83%,27
2265,"IGOV",-0.10%,2.04%,-0.46%,-3.08%,-0.41%,-1.57%,7.77%,-21.11%,-17.30%,0.64%,0.62%,344.13,0.00,41.49,0.00%,0
2266,"IGRO",0.75%,1.69%,4.84%,3.30%,12.26%,17.66%,53.46%,37.35%,85.39%,0.45%,0.57%,38.48,0.00,92.92,0.00%,0
2267,"IGSB",0.43%,0.43%,-0.22%,-1.56%,-0.98%,-1.22%,5.78%,-3.50%,0.23%,0.08%,0.11%,2990.94,0.00,52.36,0.31%,5
2268,"IGV",2.81%,13.42%,9.50%,26.84%,-0.87%,-2.49%,51.46%,23.60%,364.36%,1.99%,2.28%,15663.60,0.03,104.77,2.32%,25985
2269,"IHAK",-3.70%,3.27%,12.74%,44.58%,29.14%,21.44%,62.33%,36.54%,,2.49%,2.36%,168.87,0.00,62.14,0.00%,0
2270,"IHD",2.42%,7.02%,0.93%,6.28%,21.53%,27.00%,51.19%,1.20%,-5.93%,1.13%,1.58%,93.96,0.00,7.62,0.00%,0
2271,"IHDG",0.89%,1.38%,4.01%,2.94%,9.93%,18.11%,35.93%,28.75%,122.93%,0.43%,0.51%,125.00,0.00,53.49,0.00%,0
2272,"IHE",2.18%,4.37%,16.64%,19.06%,27.34%,52.06%,70.66%,67.64%,116.21%,1.45%,1.58%,240.50,0.00,108.02,1.97%,9
2273,"IHG",1.87%,1.47%,3.40%,17.07%,16.86%,36.22%,118.91%,163.50%,273.54%,1.16%,1.76%,261.58,0.00,164.58,0.00%,0
2274,"IHS",1.44%,2.54%,1.80%,6.00%,13.67%,17.29%,18.27%,,,0.67%,0.63%,1236.23,0.00,8.48,1.44%,20
2275,"IHY",0.17%,1.13%,-0.51%,-2.29%,-1.28%,-1.53%,9.46%,-14.83%,-11.72%,0.33%,0.37%,7.74,0.00,21.72,0.00%,1
2276,"IIF",0.61%,2.34%,6.18%,-4.01%,-7.13%,-7.59%,42.99%,48.24%,113.05%,1.63%,1.74%,32.12,0.00,23.20,0.00%,0
2277,"III",0.20%,19.52%,9.98%,5.76%,-14.19%,-0.80%,0.00%,-28.74%,30.53%,2.61%,4.01%,238.36,0.00,4.96,0.00%,0
2278,"IINC",0.34%,2.42%,,,5.56%,,,,,0.15%,0.45%,28.59,0.00,26.50,0.00%,0
2279,"IJAN",0.47%,2.33%,3.37%,3.77%,8.19%,12.29%,37.94%,45.29%,,0.25%,0.39%,11.64,0.00,39.12,0.00%,0
2280,"IJH",-0.55%,0.78%,3.04%,6.74%,16.09%,17.91%,48.70%,41.22%,145.86%,0.91%,1.03%,6901.68,0.00,76.62,0.00%,0
2281,"IJJ",-0.32%,-0.78%,4.34%,5.59%,12.81%,14.13%,41.92%,39.74%,122.95%,0.78%,0.92%,174.87,0.00,148.45,0.00%,0
2282,"IJK",-0.71%,2.34%,1.80%,7.73%,19.11%,21.64%,54.89%,41.39%,160.56%,0.94%,1.12%,235.51,0.00,115.39,0.00%,0
2283,"IJR",-0.78%,0.31%,5.12%,12.33%,22.13%,24.61%,49.25%,33.46%,137.66%,0.76%,1.01%,3519.19,0.00,146.77,0.00%,0
2284,"IJS",0.31%,1.52%,4.73%,10.83%,21.29%,25.35%,47.80%,33.09%,122.06%,0.71%,0.96%,322.43,0.00,137.93,0.00%,2
2285,"IJUL",0.46%,2.49%,4.72%,6.03%,10.45%,14.39%,43.95%,51.12%,,0.41%,0.47%,53.62,0.00,37.01,0.00%,0
2286,"IJUN",0.19%,2.51%,3.32%,5.53%,9.60%,13.86%,,,,0.20%,0.37%,42.88,0.00,32.03,0.00%,0
2287,"ILCB",-0.44%,3.48%,2.19%,10.95%,12.48%,18.60%,75.09%,68.06%,230.67%,0.46%,0.62%,13.14,0.00,106.16,0.00%,0
2288,"ILCG",0.61%,6.93%,-2.54%,12.93%,10.77%,14.11%,87.88%,66.85%,372.26%,0.79%,1.06%,78.62,1.68,115.24,0.81%,6607
2289,"ILCV",0.06%,3.26%,6.66%,11.02%,15.01%,24.26%,63.14%,64.19%,145.19%,0.46%,0.63%,23.45,0.00,108.52,0.00%,0
2290,"ILDR",-1.00%,8.24%,1.15%,22.81%,17.52%,28.33%,119.52%,71.70%,,1.21%,2.42%,57.71,0.00,38.77,0.00%,0
2291,"ILF",4.04%,0.43%,-0.74%,-6.14%,15.04%,32.61%,33.31%,21.47%,25.49%,1.88%,1.62%,2404.22,0.00,35.03,0.00%,0
2292,"ILLU",0.03%,-0.07%,0.44%,,-9.42%,,,,,0.04%,0.04%,28.22,0.00,9.96,0.00%,0
2293,"ILOW",0.72%,2.84%,5.21%,4.77%,11.48%,12.67%,,,,0.83%,0.75%,49.07,0.00,47.48,0.00%,0
2294,"ILS",0.45%,1.61%,1.41%,0.15%,0.83%,0.10%,,,,0.30%,0.21%,37.04,0.00,20.15,0.00%,0
2295,"IMAR",0.39%,2.39%,3.05%,2.89%,4.73%,8.67%,,,,0.33%,0.38%,34.40,0.00,31.28,0.00%,0
2296,"IMAX",0.53%,8.96%,35.15%,26.93%,43.45%,83.08%,184.29%,238.14%,74.35%,3.55%,3.92%,1259.85,0.00,53.02,0.49%,64
2297,"IMAY",0.41%,2.54%,3.27%,6.01%,9.18%,13.41%,,,,0.22%,0.24%,15.84,0.00,32.64,0.00%,0
2298,"IMC",-3.36%,107.21%,,,105.21%,,,,,11.72%,,362.91,0.00,10.63,-4.32%,20
2299,"IMCB",0.03%,2.31%,7.89%,13.53%,21.01%,21.84%,61.97%,45.75%,157.73%,0.55%,0.72%,32.10,0.00,100.11,0.00%,0
2300,"IMCG",0.21%,2.89%,6.55%,16.98%,23.21%,20.64%,66.28%,37.18%,264.33%,0.69%,0.98%,107.25,0.00,98.37,0.00%,0
2301,"IMCV",-0.02%,1.76%,9.53%,10.88%,19.47%,23.43%,56.99%,51.88%,122.46%,0.60%,0.77%,24.13,0.00,98.37,0.00%,0
2302,"IMF",0.26%,2.10%,1.17%,6.62%,14.49%,19.59%,,,,0.26%,0.47%,8.92,0.00,52.61,0.00%,0
